

QoS,BE
SRC, DST, CEPID,,SEND, DROP, DROP %,,MIN DELAY,AVG DELAY,MAX DELAY,,MIN JITTER,AVG JITTER,MAX JITTER
1,2,1,,1,0,0,,1.00166,1.00166,1.00166,,9.22337e+09,-nan,0
1,2,2,,1,0,0,,1.00121,1.00121,1.00121,,9.22337e+09,-nan,0
1,2,3,,1,0,0,,1.00343,1.00343,1.00343,,9.22337e+09,-nan,0
1,2,4,,1,0,0,,1.00121,1.00121,1.00121,,9.22337e+09,-nan,0
1,2,5,,1,0,0,,1.00278,1.00278,1.00278,,9.22337e+09,-nan,0
1,2,6,,1,0,0,,1.00237,1.00237,1.00237,,9.22337e+09,-nan,0
1,2,7,,1,0,0,,1.00208,1.00208,1.00208,,9.22337e+09,-nan,0
1,2,8,,1,0,0,,1.00247,1.00247,1.00247,,9.22337e+09,-nan,0
1,2,9,,1,0,0,,1.00136,1.00136,1.00136,,9.22337e+09,-nan,0
1,2,10,,1,0,0,,1.00274,1.00274,1.00274,,9.22337e+09,-nan,0
1,2,11,,1,0,0,,1.00134,1.00134,1.00134,,9.22337e+09,-nan,0
1,2,12,,1,0,0,,1.0016,1.0016,1.0016,,9.22337e+09,-nan,0
1,2,13,,1,0,0,,1.00538,1.00538,1.00538,,9.22337e+09,-nan,0
1,2,14,,1,0,0,,1.00266,1.00266,1.00266,,9.22337e+09,-nan,0
1,2,15,,1,0,0,,1.00355,1.00355,1.00355,,9.22337e+09,-nan,0
1,2,16,,1,0,0,,1.00146,1.00146,1.00146,,9.22337e+09,-nan,0
1,2,17,,1,0,0,,1.00161,1.00161,1.00161,,9.22337e+09,-nan,0
1,2,18,,1,0,0,,1.00343,1.00343,1.00343,,9.22337e+09,-nan,0
1,2,19,,1,0,0,,1.00199,1.00199,1.00199,,9.22337e+09,-nan,0
1,2,20,,1,0,0,,1.00244,1.00244,1.00244,,9.22337e+09,-nan,0
1,2,21,,1,0,0,,1.0021,1.0021,1.0021,,9.22337e+09,-nan,0
1,2,22,,1,0,0,,1.00357,1.00357,1.00357,,9.22337e+09,-nan,0
1,2,23,,1,0,0,,1.0013,1.0013,1.0013,,9.22337e+09,-nan,0
1,2,24,,1,0,0,,1.00158,1.00158,1.00158,,9.22337e+09,-nan,0
1,2,25,,1,0,0,,1.00293,1.00293,1.00293,,9.22337e+09,-nan,0
1,2,26,,1,0,0,,1.00134,1.00134,1.00134,,9.22337e+09,-nan,0
1,2,27,,1,0,0,,1.00299,1.00299,1.00299,,9.22337e+09,-nan,0
1,2,28,,1,0,0,,1.00214,1.00214,1.00214,,9.22337e+09,-nan,0
1,2,29,,1,0,0,,1.0026,1.0026,1.0026,,9.22337e+09,-nan,0
1,2,30,,1,0,0,,1.00538,1.00538,1.00538,,9.22337e+09,-nan,0
