

QoS,BE
SRC, DST,,SEND, DROP, DROP %,, DROPs
1,2,,170,0,0,,
1,3,,173,0,0,,
1,4,,153,0,0,,
1,5,,164,0,0,,
1,6,,171,0,0,,
1,7,,172,0,0,,
1,8,,164,0,0,,
1,9,,148,0,0,,
2,1,,179,0,0,,
2,3,,178,0,0,,
2,4,,171,0,0,,
2,5,,184,0,0,,
2,6,,195,0,0,,
2,7,,179,0,0,,
2,8,,156,0,0,,
2,9,,191,0,0,,
3,1,,176,0,0,,
3,2,,177,0,0,,
3,4,,178,0,0,,
3,5,,163,0,0,,
3,6,,166,0,0,,
3,7,,174,0,0,,
3,8,,167,0,0,,
3,9,,170,0,0,,
4,1,,151,0,0,,
4,2,,167,0,0,,
4,3,,186,0,0,,
4,5,,171,0,0,,
4,6,,155,0,0,,
4,7,,168,0,0,,
4,8,,163,0,0,,
4,9,,173,0,0,,
5,1,,180,0,0,,
5,2,,160,0,0,,
5,3,,183,0,0,,
5,4,,153,0,0,,
5,6,,150,0,0,,
5,7,,157,0,0,,
5,8,,170,0,0,,
5,9,,170,0,0,,
6,1,,169,0,0,,
6,2,,173,0,0,,
6,3,,168,0,0,,
6,4,,154,0,0,,
6,5,,155,0,0,,
6,7,,169,0,0,,
6,8,,179,0,0,,
6,9,,183,0,0,,
7,1,,182,0,0,,
7,2,,165,0,0,,
7,3,,168,0,0,,
7,4,,146,0,0,,
7,5,,167,0,0,,
7,6,,150,0,0,,
7,8,,190,0,0,,
7,9,,166,0,0,,
8,1,,156,0,0,,
8,2,,172,0,0,,
8,3,,169,0,0,,
8,4,,181,0,0,,
8,5,,170,0,0,,
8,6,,161,0,0,,
8,7,,160,0,0,,
8,9,,168,0,0,,
9,1,,185,0,0,,
9,2,,167,0,0,,
9,3,,158,0,0,,
9,4,,174,0,0,,
9,5,,182,0,0,,
9,6,,173,0,0,,
9,7,,165,0,0,,
9,8,,193,0,0,,
QoS,GU
SRC, DST,,SEND, DROP, DROP %,, DROPs
1,2,,54,0,0,,
1,3,,46,0,0,,
1,4,,44,0,0,,
1,5,,37,0,0,,
1,6,,48,0,0,,
1,7,,42,0,0,,
1,8,,45,0,0,,
1,9,,40,0,0,,
2,1,,44,0,0,,
2,3,,42,0,0,,
2,4,,41,0,0,,
2,5,,48,0,0,,
2,6,,46,0,0,,
2,7,,35,0,0,,
2,8,,33,0,0,,
2,9,,45,0,0,,
3,1,,50,0,0,,
3,2,,43,0,0,,
3,4,,44,0,0,,
3,5,,38,0,0,,
3,6,,52,0,0,,
