

QoS,BE
SRC, DST,,SEND, DROP, DROP %,,MIN DELAY,AVG DELAY,MAX DELAY,,MIN JITTER,AVG JITTER,MAX JITTER
1,2,,170,0,0,,1.00121,1.00245,1.00562,,9.22337e+09,-nan,0
1,3,,173,0,0,,2.00243,2.00538,2.02193,,9.22337e+09,-nan,0
1,4,,153,0,0,,3.00363,3.00838,3.07276,,9.22337e+09,-nan,0
1,5,,164,0,0,,4.00501,4.01072,4.07745,,9.22337e+09,-nan,0
1,6,,171,0,0,,4.00506,4.01031,4.08283,,9.22337e+09,-nan,0
1,7,,172,0,0,,3.00375,3.00802,3.07253,,9.22337e+09,-nan,0
1,8,,164,0,0,,2.00242,2.00505,2.03237,,9.22337e+09,-nan,0
1,9,,148,0,0,,1.00123,1.00263,1.02315,,9.22337e+09,-nan,0
2,1,,179,0,0,,1.00121,1.00263,1.01519,,9.22337e+09,-nan,0
2,3,,178,0,0,,1.00125,1.00274,1.04728,,9.22337e+09,-nan,0
2,4,,171,0,0,,2.00252,2.00516,2.05437,,9.22337e+09,-nan,0
2,5,,184,0,0,,3.00378,3.00758,3.01402,,9.22337e+09,-nan,0
2,6,,195,0,0,,4.00498,4.01073,4.08048,,9.22337e+09,-nan,0
2,7,,179,0,0,,4.00491,4.01009,4.08747,,9.22337e+09,-nan,0
2,8,,156,0,0,,3.00375,3.00819,3.08472,,9.22337e+09,-nan,0
2,9,,191,0,0,,2.00244,2.00539,2.06457,,9.22337e+09,-nan,0
3,1,,176,0,0,,2.00242,2.00532,2.06453,,9.22337e+09,-nan,0
3,2,,177,0,0,,1.00122,1.00261,1.01138,,9.22337e+09,-nan,0
3,4,,178,0,0,,1.00121,1.00252,1.00548,,9.22337e+09,-nan,0
3,5,,163,0,0,,2.00244,2.00509,2.00962,,9.22337e+09,-nan,0
3,6,,166,0,0,,3.00364,3.00776,3.0765,,9.22337e+09,-nan,0
3,7,,174,0,0,,4.00488,4.01025,4.07875,,9.22337e+09,-nan,0
3,8,,167,0,0,,4.00487,4.01061,4.08661,,9.22337e+09,-nan,0
3,9,,170,0,0,,3.0037,3.00834,3.06831,,9.22337e+09,-nan,0
4,1,,151,0,0,,3.00364,3.00767,3.04177,,9.22337e+09,-nan,0
4,2,,167,0,0,,2.00259,2.00534,2.07508,,9.22337e+09,-nan,0
4,3,,186,0,0,,1.00122,1.00312,1.06029,,9.22337e+09,-nan,0
4,5,,171,0,0,,1.00122,1.00263,1.00723,,9.22337e+09,-nan,0
4,6,,155,0,0,,2.00243,2.00527,2.03867,,9.22337e+09,-nan,0
4,7,,168,0,0,,3.00365,3.00817,3.06423,,9.22337e+09,-nan,0
4,8,,163,0,0,,4.00495,4.01061,4.06949,,9.22337e+09,-nan,0
4,9,,173,0,0,,4.00484,4.01062,4.08992,,9.22337e+09,-nan,0
5,1,,180,0,0,,4.00488,4.01061,4.09234,,9.22337e+09,-nan,0
5,2,,160,0,0,,3.00365,3.00807,3.08004,,9.22337e+09,-nan,0
5,3,,183,0,0,,2.00243,2.00525,2.06649,,9.22337e+09,-nan,0
5,4,,153,0,0,,1.00124,1.00293,1.03407,,9.22337e+09,-nan,0
5,6,,150,0,0,,1.00122,1.00259,1.00883,,9.22337e+09,-nan,0
5,7,,157,0,0,,2.00245,2.00505,2.01256,,9.22337e+09,-nan,0
5,8,,170,0,0,,3.00368,3.00787,3.06729,,9.22337e+09,-nan,0
5,9,,170,0,0,,4.00484,4.0104,4.07737,,9.22337e+09,-nan,0
6,1,,169,0,0,,4.00484,4.0102,4.07893,,9.22337e+09,-nan,0
6,2,,173,0,0,,4.00485,4.0103,4.08556,,9.22337e+09,-nan,0
6,3,,168,0,0,,3.00385,3.00814,3.07808,,9.22337e+09,-nan,0
6,4,,154,0,0,,2.00244,2.00527,2.06831,,9.22337e+09,-nan,0
6,5,,155,0,0,,1.00127,1.00259,1.01198,,9.22337e+09,-nan,0
6,7,,169,0,0,,1.00123,1.00278,1.04189,,9.22337e+09,-nan,0
6,8,,179,0,0,,2.00245,2.00523,2.0586,,9.22337e+09,-nan,0
6,9,,183,0,0,,3.00363,3.00801,3.07511,,9.22337e+09,-nan,0
7,1,,182,0,0,,3.00363,3.00786,3.07533,,9.22337e+09,-nan,0
7,2,,165,0,0,,4.00491,4.01055,4.08952,,9.22337e+09,-nan,0
7,3,,168,0,0,,4.00488,4.01054,4.08974,,9.22337e+09,-nan,0
7,4,,146,0,0,,3.00374,3.00801,3.07887,,9.22337e+09,-nan,0
7,5,,167,0,0,,2.00245,2.0049,2.01023,,9.22337e+09,-nan,0
7,6,,150,0,0,,1.00124,1.00286,1.0256,,9.22337e+09,-nan,0
7,8,,190,0,0,,1.00122,1.00257,1.00557,,9.22337e+09,-nan,0
7,9,,166,0,0,,2.00248,2.00491,2.00954,,9.22337e+09,-nan,0
8,1,,156,0,0,,2.0025,2.00549,2.05413,,9.22337e+09,-nan,0
8,2,,172,0,0,,3.00367,3.00809,3.07612,,9.22337e+09,-nan,0
8,3,,169,0,0,,4.00493,4.01152,4.07658,,9.22337e+09,-nan,0
8,4,,181,0,0,,4.00486,4.01044,4.0651,,9.22337e+09,-nan,0
8,5,,170,0,0,,3.00363,3.0082,3.07849,,9.22337e+09,-nan,0
8,6,,161,0,0,,2.00247,2.00534,2.05556,,9.22337e+09,-nan,0
8,7,,160,0,0,,1.00121,1.00279,1.03451,,9.22337e+09,-nan,0
8,9,,168,0,0,,1.00121,1.0026,1.0211,,9.22337e+09,-nan,0
9,1,,185,0,0,,1.00121,1.00276,1.05019,,9.22337e+09,-nan,0
9,2,,167,0,0,,2.00246,2.00515,2.01747,,9.22337e+09,-nan,0
9,3,,158,0,0,,3.00366,3.00811,3.08339,,9.22337e+09,-nan,0
9,4,,174,0,0,,4.00484,4.01006,4.07923,,9.22337e+09,-nan,0
9,5,,182,0,0,,4.00498,4.01053,4.09272,,9.22337e+09,-nan,0
9,6,,173,0,0,,3.0037,3.00791,3.08042,,9.22337e+09,-nan,0
9,7,,165,0,0,,2.00247,2.00573,2.06648,,9.22337e+09,-nan,0
9,8,,193,0,0,,1.00121,1.00261,1.02453,,9.22337e+09,-nan,0
QoS,GU
