A-dq

QoS,BE
SRC, DST,,SEND, DROP, DROP %,, DROPs
1,2,,197,5,2.53807,,
1,3,,204,3,1.47059,,
1,4,,208,4,1.92308,,
1,5,,233,11,4.72103,,
1,6,,247,9,3.64372,,
1,7,,240,11,4.58333,,
1,8,,192,4,2.08333,,
1,9,,236,0,0,,
2,1,,196,3,1.53061,,
2,3,,229,0,0,,
2,4,,193,1,0.518135,,
2,5,,215,3,1.39535,,
2,6,,212,13,6.13208,,
2,7,,212,10,4.71698,,
2,8,,232,10,4.31034,,
2,9,,206,2,0.970874,,
3,1,,191,1,0.52356,,
3,2,,221,2,0.904977,,
3,4,,223,0,0,,
3,5,,191,4,2.09424,,
3,6,,232,5,2.15517,,
3,7,,207,10,4.83092,,
3,8,,199,6,3.01508,,
3,9,,202,1,0.49505,,
4,1,,213,8,3.75587,,
4,2,,233,12,5.15021,,
4,3,,239,2,0.83682,,
4,5,,169,0,0,,
4,6,,229,5,2.18341,,
4,7,,191,7,3.66492,,
4,8,,213,10,4.69484,,
4,9,,210,8,3.80952,,
5,1,,217,15,6.91244,,
5,2,,201,16,7.9602,,
5,3,,208,16,7.69231,,
5,4,,233,4,1.71674,,
5,6,,212,2,0.943396,,
5,7,,211,5,2.36967,,
5,8,,228,11,4.82456,,
5,9,,234,15,6.41026,,
6,1,,197,12,6.09137,,
6,2,,215,16,7.44186,,
6,3,,219,17,7.76256,,
6,4,,220,11,5,,
6,5,,243,3,1.23457,,
6,7,,218,10,4.58716,,
6,8,,215,6,2.7907,,
6,9,,234,4,1.7094,,
7,1,,228,13,5.70175,,
7,2,,191,8,4.18848,,
7,3,,204,13,6.37255,,
7,4,,215,17,7.90698,,
7,5,,206,3,1.45631,,
7,6,,225,1,0.444444,,
7,8,,210,2,0.952381,,
7,9,,219,3,1.36986,,
8,1,,200,2,1,,
8,2,,230,8,3.47826,,
8,3,,192,3,1.5625,,
8,4,,215,13,6.04651,,
8,5,,214,4,1.86916,,
8,6,,218,7,3.21101,,
8,7,,219,6,2.73973,,
8,9,,203,1,0.492611,,
9,1,,252,1,0.396825,,
9,2,,200,2,1,,
9,3,,214,8,3.73832,,
9,4,,207,4,1.93237,,
9,5,,221,10,4.52489,,
9,6,,223,10,4.4843,,
9,7,,221,10,4.52489,,
9,8,,230,5,2.17391,,
QoS,GU
SRC, DST,,SEND, DROP, DROP %,, DROPs
1,2,,47,0,0,,
1,3,,66,0,0,,
1,4,,55,0,0,,
1,5,,57,0,0,,
1,6,,57,2,3.50877,,
1,7,,58,0,0,,
1,8,,66,0,0,,
1,9,,56,0,0,,
2,1,,48,0,0,,
2,3,,44,0,0,,
2,4,,56,0,0,,
2,5,,50,0,0,,
2,6,,47,1,2.12766,,
2,7,,56,1,1.78571,,
2,8,,46,0,0,,
2,9,,56,0,0,,
3,1,,62,0,0,,
3,2,,50,0,0,,
3,4,,57,0,0,,
3,5,,48,0,0,,
3,6,,45,0,0,,
3,7,,47,0,0,,
3,8,,44,0,0,,
3,9,,68,1,1.47059,,
4,1,,51,0,0,,
4,2,,48,0,0,,
4,3,,61,0,0,,
4,5,,54,0,0,,
4,6,,69,0,0,,
4,7,,65,0,0,,
4,8,,53,0,0,,
4,9,,45,0,0,,
5,1,,51,1,1.96078,,
5,2,,47,0,0,,
5,3,,70,0,0,,
5,4,,49,0,0,,
5,6,,48,0,0,,
5,7,,52,0,0,,
5,8,,55,0,0,,
5,9,,56,0,0,,
6,1,,61,0,0,,
6,2,,61,0,0,,
6,3,,66,0,0,,
6,4,,55,0,0,,
6,5,,57,0,0,,
6,7,,58,0,0,,
6,8,,57,0,0,,
6,9,,57,0,0,,
7,1,,55,0,0,,
7,2,,63,0,0,,
7,3,,62,1,1.6129,,
7,4,,56,1,1.78571,,
7,5,,47,1,2.12766,,
7,6,,41,0,0,,
7,8,,51,0,0,,
7,9,,46,0,0,,
8,1,,72,0,0,,
8,2,,60,0,0,,
8,3,,51,0,0,,
8,4,,48,0,0,,
8,5,,44,0,0,,
8,6,,51,0,0,,
8,7,,57,0,0,,
8,9,,73,0,0,,
