A-dq

QoS,BE
SRC, DST,,SEND, DROP, DROP %,,MIN DELAY,AVG DELAY,MAX DELAY,,MIN JITTER,AVG JITTER,MAX JITTER
1,2,,197,5,2.53807,,1.00154,1.04687,1.18359,,9.22337e+09,-nan,0
1,3,,204,3,1.47059,,2.00657,2.1366,2.29133,,9.22337e+09,-nan,0
1,4,,208,4,1.92308,,3.01462,3.16625,3.2848,,9.22337e+09,-nan,0
1,5,,233,11,4.72103,,4.03371,4.24021,4.38183,,9.22337e+09,-nan,0
1,6,,247,9,3.64372,,4.0829,4.31272,4.64271,,9.22337e+09,-nan,0
1,7,,240,11,4.58333,,3.06143,3.23536,3.52878,,9.22337e+09,-nan,0
1,8,,192,4,2.08333,,2.04562,2.12315,2.25672,,9.22337e+09,-nan,0
1,9,,236,0,0,,1.00194,1.07362,1.14118,,9.22337e+09,-nan,0
2,1,,196,3,1.53061,,1.0013,1.05089,1.15917,,9.22337e+09,-nan,0
2,3,,229,0,0,,1.00174,1.09495,1.21237,,9.22337e+09,-nan,0
2,4,,193,1,0.518135,,2.00589,2.10458,2.21682,,9.22337e+09,-nan,0
2,5,,215,3,1.39535,,3.01252,3.18827,3.35108,,9.22337e+09,-nan,0
2,6,,212,13,6.13208,,4.14386,4.34628,4.54399,,9.22337e+09,-nan,0
2,7,,212,10,4.71698,,4.07005,4.28001,4.54107,,9.22337e+09,-nan,0
2,8,,232,10,4.31034,,3.05611,3.1773,3.32029,,9.22337e+09,-nan,0
2,9,,206,2,0.970874,,2.02836,2.12663,2.24206,,9.22337e+09,-nan,0
3,1,,191,1,0.52356,,2.04127,2.24597,2.40804,,9.22337e+09,-nan,0
3,2,,221,2,0.904977,,1.00871,1.1931,1.30465,,9.22337e+09,-nan,0
3,4,,223,0,0,,1.00128,1.01115,1.08934,,9.22337e+09,-nan,0
3,5,,191,4,2.09424,,2.00353,2.09724,2.33243,,9.22337e+09,-nan,0
3,6,,232,5,2.15517,,3.03959,3.26321,3.47975,,9.22337e+09,-nan,0
3,7,,207,10,4.83092,,4.12155,4.40161,4.67288,,9.22337e+09,-nan,0
3,8,,199,6,3.01508,,4.12306,4.37616,4.54313,,9.22337e+09,-nan,0
3,9,,202,1,0.49505,,3.05175,3.31255,3.5117,,9.22337e+09,-nan,0
4,1,,213,8,3.75587,,3.12251,3.42116,3.61635,,9.22337e+09,-nan,0
4,2,,233,12,5.15021,,2.0664,2.35138,2.5669,,9.22337e+09,-nan,0
4,3,,239,2,0.83682,,1.04719,1.15941,1.28781,,9.22337e+09,-nan,0
4,5,,169,0,0,,1.00143,1.01031,1.0463,,9.22337e+09,-nan,0
4,6,,229,5,2.18341,,2.00888,2.17234,2.38974,,9.22337e+09,-nan,0
4,7,,191,7,3.66492,,3.06467,3.30679,3.50323,,9.22337e+09,-nan,0
4,8,,213,10,4.69484,,4.12834,4.3771,4.61036,,9.22337e+09,-nan,0
4,9,,210,8,3.80952,,4.1194,4.46552,4.72949,,9.22337e+09,-nan,0
5,1,,217,15,6.91244,,4.19224,4.54904,4.79449,,9.22337e+09,-nan,0
5,2,,201,16,7.9602,,3.1656,3.49936,3.80104,,9.22337e+09,-nan,0
5,3,,208,16,7.69231,,2.1115,2.31279,2.56624,,9.22337e+09,-nan,0
5,4,,233,4,1.71674,,1.00319,1.15835,1.35784,,9.22337e+09,-nan,0
5,6,,212,2,0.943396,,1.00883,1.11086,1.22696,,9.22337e+09,-nan,0
5,7,,211,5,2.36967,,2.04863,2.24495,2.43641,,9.22337e+09,-nan,0
5,8,,228,11,4.82456,,3.05724,3.30094,3.53193,,9.22337e+09,-nan,0
5,9,,234,15,6.41026,,4.20172,4.40775,4.6552,,9.22337e+09,-nan,0
6,1,,197,12,6.09137,,4.16573,4.37509,4.65307,,9.22337e+09,-nan,0
6,2,,215,16,7.44186,,4.17489,4.54433,4.87801,,9.22337e+09,-nan,0
6,3,,219,17,7.76256,,3.16473,3.35029,3.63821,,9.22337e+09,-nan,0
6,4,,220,11,5,,2.00792,2.20331,2.4335,,9.22337e+09,-nan,0
6,5,,243,3,1.23457,,1.00182,1.04275,1.12443,,9.22337e+09,-nan,0
6,7,,218,10,4.58716,,1.03074,1.14637,1.26776,,9.22337e+09,-nan,0
6,8,,215,6,2.7907,,2.03771,2.19034,2.37103,,9.22337e+09,-nan,0
6,9,,234,4,1.7094,,3.12631,3.29784,3.48668,,9.22337e+09,-nan,0
7,1,,228,13,5.70175,,3.0226,3.23037,3.4697,,9.22337e+09,-nan,0
7,2,,191,8,4.18848,,4.02021,4.28623,4.54707,,9.22337e+09,-nan,0
7,3,,204,13,6.37255,,4.18467,4.43588,4.72915,,9.22337e+09,-nan,0
7,4,,215,17,7.90698,,3.01795,3.28428,3.57145,,9.22337e+09,-nan,0
7,5,,206,3,1.45631,,2.00308,2.12874,2.27601,,9.22337e+09,-nan,0
7,6,,225,1,0.444444,,1.00214,1.07939,1.226,,9.22337e+09,-nan,0
7,8,,210,2,0.952381,,1.0021,1.06009,1.14891,,9.22337e+09,-nan,0
7,9,,219,3,1.36986,,2.00903,2.15621,2.30681,,9.22337e+09,-nan,0
8,1,,200,2,1,,2.0099,2.19005,2.32649,,9.22337e+09,-nan,0
8,2,,230,8,3.47826,,3.00955,3.24039,3.46607,,9.22337e+09,-nan,0
8,3,,192,3,1.5625,,4.05827,4.31264,4.57715,,9.22337e+09,-nan,0
8,4,,215,13,6.04651,,4.02791,4.38385,4.84305,,9.22337e+09,-nan,0
8,5,,214,4,1.86916,,3.01025,3.22667,3.54096,,9.22337e+09,-nan,0
8,6,,218,7,3.21101,,2.00709,2.18536,2.47024,,9.22337e+09,-nan,0
8,7,,219,6,2.73973,,1.00241,1.11029,1.29614,,9.22337e+09,-nan,0
8,9,,203,1,0.492611,,1.00343,1.09424,1.22949,,9.22337e+09,-nan,0
9,1,,252,1,0.396825,,1.00176,1.07796,1.19622,,9.22337e+09,-nan,0
9,2,,200,2,1,,2.0056,2.13548,2.32385,,9.22337e+09,-nan,0
9,3,,214,8,3.73832,,3.02271,3.24185,3.42388,,9.22337e+09,-nan,0
9,4,,207,4,1.93237,,4.01391,4.24328,4.42378,,9.22337e+09,-nan,0
9,5,,221,10,4.52489,,4.01846,4.26471,4.65733,,9.22337e+09,-nan,0
9,6,,223,10,4.4843,,3.01252,3.23787,3.58475,,9.22337e+09,-nan,0
9,7,,221,10,4.52489,,2.00744,2.13999,2.48402,,9.22337e+09,-nan,0
9,8,,230,5,2.17391,,1.00181,1.05255,1.23914,,9.22337e+09,-nan,0
QoS,GU
SRC, DST,,SEND, DROP, DROP %,,MIN DELAY,AVG DELAY,MAX DELAY,,MIN JITTER,AVG JITTER,MAX JITTER
1,2,,47,0,0,,1.00292,1.01302,1.02325,,9.22337e+09,-nan,0
1,3,,66,0,0,,2.0031,2.02715,2.04166,,9.22337e+09,-nan,0
1,4,,55,0,0,,3.02232,3.03981,3.06852,,9.22337e+09,-nan,0
1,5,,57,0,0,,4.02542,4.05859,4.09248,,9.22337e+09,-nan,0
1,6,,57,2,3.50877,,4.03561,4.05354,4.07438,,9.22337e+09,-nan,0
1,7,,58,0,0,,3.02328,3.04142,3.05821,,9.22337e+09,-nan,0
1,8,,66,0,0,,2.01148,2.02636,2.03735,,9.22337e+09,-nan,0
1,9,,56,0,0,,1.0043,1.01396,1.02126,,9.22337e+09,-nan,0
2,1,,48,0,0,,1.00164,1.01414,1.02438,,9.22337e+09,-nan,0
2,3,,44,0,0,,1.00168,1.01294,1.02159,,9.22337e+09,-nan,0
2,4,,56,0,0,,2.0091,2.0245,2.04809,,9.22337e+09,-nan,0
2,5,,50,0,0,,3.01746,3.04163,3.07598,,9.22337e+09,-nan,0
2,6,,47,1,2.12766,,4.04901,4.07105,4.10121,,9.22337e+09,-nan,0
2,7,,56,1,1.78571,,4.03084,4.05494,4.08152,,9.22337e+09,-nan,0
2,8,,46,0,0,,3.02568,3.04134,3.05802,,9.22337e+09,-nan,0
2,9,,56,0,0,,2.01779,2.02881,2.04267,,9.22337e+09,-nan,0
3,1,,62,0,0,,2.0122,2.02778,2.0387,,9.22337e+09,-nan,0
3,2,,50,0,0,,1.00859,1.01541,1.02248,,9.22337e+09,-nan,0
3,4,,57,0,0,,1.00224,1.01105,1.03095,,9.22337e+09,-nan,0
3,5,,48,0,0,,2.00594,2.031,2.05451,,9.22337e+09,-nan,0
3,6,,45,0,0,,3.03033,3.05378,3.07618,,9.22337e+09,-nan,0
3,7,,47,0,0,,4.04782,4.0699,4.09799,,9.22337e+09,-nan,0
3,8,,44,0,0,,4.02932,4.05292,4.07479,,9.22337e+09,-nan,0
3,9,,68,1,1.47059,,3.02959,3.0428,3.06076,,9.22337e+09,-nan,0
4,1,,51,0,0,,3.02329,3.04221,3.05961,,9.22337e+09,-nan,0
4,2,,48,0,0,,2.01826,2.0298,2.04079,,9.22337e+09,-nan,0
4,3,,61,0,0,,1.00668,1.01493,1.02254,,9.22337e+09,-nan,0
4,5,,54,0,0,,1.0017,1.0091,1.03427,,9.22337e+09,-nan,0
4,6,,69,0,0,,2.00929,2.03439,2.05854,,9.22337e+09,-nan,0
4,7,,65,0,0,,3.02496,3.05291,3.07601,,9.22337e+09,-nan,0
4,8,,53,0,0,,4.03671,4.06318,4.09544,,9.22337e+09,-nan,0
4,9,,45,0,0,,4.03845,4.05968,4.07785,,9.22337e+09,-nan,0
5,1,,51,1,1.96078,,4.04132,4.05812,4.07588,,9.22337e+09,-nan,0
5,2,,47,0,0,,3.02467,3.04352,3.05859,,9.22337e+09,-nan,0
5,3,,70,0,0,,2.01347,2.02885,2.04241,,9.22337e+09,-nan,0
