A-k

QoS,BE
SRC, DST,,SEND, DROP, DROP %,, DROPs,1,2
1,2,,1716,8,0.4662,,,4,0
1,3,,1703,13,0.763359,,,11,0
1,4,,1606,32,1.99253,,,18,1
1,5,,1744,35,2.00688,,,21,0
1,6,,1632,22,1.34804,,,10,0
1,7,,1678,14,0.834327,,,6,0
1,8,,1661,22,1.3245,,,11,0
1,9,,1677,10,0.596303,,,1,0
2,1,,1628,14,0.859951,,,12,0
2,3,,1667,7,0.419916,,,7,0
2,4,,1636,13,0.794621,,,13,0
2,5,,1746,22,1.26002,,,20,0
2,6,,1640,16,0.97561,,,9,0
2,7,,1701,37,2.17519,,,24,0
2,8,,1686,41,2.43179,,,31,0
2,9,,1765,26,1.47309,,,19,0
3,1,,1596,35,2.19298,,,21,0
3,2,,1635,7,0.428135,,,0,0
3,4,,1676,3,0.178998,,,3,0
3,5,,1628,8,0.4914,,,5,0
3,6,,1667,16,0.959808,,,8,0
3,7,,1667,14,0.839832,,,9,0
3,8,,1626,40,2.46002,,,18,0
3,9,,1678,34,2.02622,,,22,0
4,1,,1696,24,1.41509,,,20,0
4,2,,1631,14,0.858369,,,7,0
4,3,,1685,6,0.356083,,,6,0
4,5,,1651,2,0.121139,,,1,0
4,6,,1690,7,0.414201,,,7,0
4,7,,1692,16,0.945626,,,12,0
4,8,,1689,23,1.36175,,,20,0
4,9,,1672,25,1.49522,,,13,0
5,1,,1646,36,2.18712,,,25,0
5,2,,1593,14,0.878845,,,7,0
5,3,,1629,5,0.306937,,,5,0
5,4,,1675,0,0,,,0,0
5,6,,1701,1,0.0587889,,,1,0
5,7,,1681,3,0.178465,,,3,0
5,8,,1631,13,0.797057,,,12,1
5,9,,1630,22,1.34969,,,20,0
6,1,,1645,23,1.39818,,,16,0
6,2,,1683,10,0.594177,,,5,0
6,3,,1614,4,0.247831,,,3,0
6,4,,1623,2,0.123229,,,1,0
6,5,,1760,0,0,,,0,0
6,7,,1664,4,0.240385,,,4,0
6,8,,1657,6,0.3621,,,6,0
6,9,,1620,21,1.2963,,,18,0
7,1,,1681,25,1.48721,,,23,0
7,2,,1719,35,2.03607,,,23,0
7,3,,1630,11,0.674847,,,8,0
7,4,,1635,4,0.244648,,,3,0
7,5,,1662,8,0.481348,,,7,0
7,6,,1693,0,0,,,0,0
7,8,,1671,4,0.239378,,,4,0
7,9,,1638,11,0.671551,,,10,0
8,1,,1623,14,0.8626,,,8,0
8,2,,1736,18,1.03687,,,12,0
8,3,,1691,31,1.83323,,,21,0
8,4,,1709,7,0.409596,,,6,0
8,5,,1656,2,0.120773,,,2,0
8,6,,1618,3,0.185414,,,3,0
8,7,,1623,1,0.0616143,,,1,0
8,9,,1656,6,0.362319,,,2,0
9,1,,1610,6,0.372671,,,4,0
9,2,,1706,16,0.937866,,,10,0
9,3,,1636,26,1.58924,,,24,0
9,4,,1701,23,1.35215,,,17,0
9,5,,1621,14,0.863664,,,11,0
9,6,,1616,7,0.433168,,,3,0
9,7,,1620,1,0.0617284,,,0,0
9,8,,1640,2,0.121951,,,1,0
QoS,GU
SRC, DST,,SEND, DROP, DROP %,, DROPs,1,2
1,2,,401,0,0,,,0,0
1,3,,411,0,0,,,0,0
1,4,,431,0,0,,,0,0
1,5,,429,0,0,,,0,0
1,6,,448,0,0,,,0,0
1,7,,409,0,0,,,0,0
1,8,,431,0,0,,,0,0
1,9,,421,0,0,,,0,0
2,1,,436,0,0,,,0,0
2,3,,431,0,0,,,0,0
2,4,,394,0,0,,,0,0
2,5,,392,0,0,,,0,0
2,6,,412,0,0,,,0,0
2,7,,418,0,0,,,0,0
2,8,,424,0,0,,,0,0
2,9,,408,0,0,,,0,0
3,1,,421,0,0,,,0,0
3,2,,408,0,0,,,0,0
3,4,,417,0,0,,,0,0
3,5,,402,0,0,,,0,0
3,6,,402,0,0,,,0,0
3,7,,405,0,0,,,0,0
3,8,,407,0,0,,,0,0
3,9,,384,0,0,,,0,0
4,1,,396,0,0,,,0,0
4,2,,415,0,0,,,0,0
4,3,,427,0,0,,,0,0
4,5,,412,0,0,,,0,0
4,6,,397,0,0,,,0,0
