A-k

QoS,BE
SRC, DST,,SEND, DROP, DROP %,,MIN DELAY,AVG DELAY,MAX DELAY,,MIN JITTER,AVG JITTER,MAX JITTER
1,2,,1716,8,0.4662,,1.00138,1.38526,1.87009,,5.8109e-05,0.300002,0.812645
1,3,,1703,13,0.763359,,2.00674,2.3994,2.80487,,0.000225437,0.257342,0.727571
1,4,,1606,32,1.99253,,3.01601,3.40148,3.80243,,9.9969e-05,0.189978,0.65067
1,5,,1744,35,2.00688,,4.07274,4.4195,4.78038,,5.5001e-05,0.134097,0.477303
1,6,,1632,22,1.34804,,4.01912,4.27708,4.59314,,0.000180266,0.134147,0.401734
1,7,,1678,14,0.834327,,3.02039,3.26689,3.55955,,3.7476e-05,0.138991,0.52895
1,8,,1661,22,1.3245,,2.00633,2.29737,2.72333,,0.000344593,0.192332,0.63207
1,9,,1677,10,0.596303,,1.00142,1.31189,1.90299,,0.000439568,0.271077,0.853073
2,1,,1628,14,0.859951,,1.00163,1.41085,1.84956,,0.000485633,0.318469,0.766924
2,3,,1667,7,0.419916,,1.00132,1.3662,1.8449,,0.000105797,0.296936,0.805575
2,4,,1636,13,0.794621,,2.00694,2.36549,2.84067,,0.000591225,0.226759,0.565352
2,5,,1746,22,1.26002,,3.07888,3.38979,3.78153,,3.2568e-05,0.139433,0.45294
2,6,,1640,16,0.97561,,4.1039,4.39041,4.68582,,5.862e-05,0.0826434,0.281186
2,7,,1701,37,2.17519,,4.07188,4.32988,4.6127,,0.000287222,0.135934,0.427523
2,8,,1686,41,2.43179,,3.01842,3.35079,3.69943,,0.000781795,0.169168,0.552257
2,9,,1765,26,1.47309,,2.00504,2.37175,2.76656,,8.924e-06,0.173114,0.588966
3,1,,1596,35,2.19298,,2.01039,2.32895,2.74446,,0.000348313,0.187485,0.544259
3,2,,1635,7,0.428135,,1.00145,1.20681,1.90301,,0.000317857,0.187289,0.882444
3,4,,1676,3,0.178998,,1.00124,1.31416,1.82225,,0.000113722,0.245551,0.77218
3,5,,1628,8,0.4914,,2.00564,2.3616,2.71693,,0.0001999,0.154478,0.537535
3,6,,1667,16,0.959808,,3.06651,3.35709,3.68378,,0.000241742,0.108368,0.388425
3,7,,1667,14,0.839832,,4.14191,4.3788,4.6772,,0.000484748,0.104245,0.35464
3,8,,1626,40,2.46002,,4.01712,4.34671,4.74599,,6.376e-06,0.165934,0.494966
3,9,,1678,34,2.02622,,3.0082,3.34087,3.68768,,7.042e-06,0.155201,0.531766
4,1,,1696,24,1.41509,,3.01883,3.33567,3.67419,,9.6246e-05,0.189308,0.548044
4,2,,1631,14,0.858369,,2.00752,2.26065,2.6462,,0.000244024,0.178888,0.492501
4,3,,1685,6,0.356083,,1.00128,1.28288,1.89579,,0.000367319,0.256558,0.878852
4,5,,1651,2,0.121139,,1.00158,1.3636,1.8518,,0.00073501,0.225039,0.699049
4,6,,1690,7,0.414201,,2.01302,2.33734,2.8124,,0.000164458,0.161077,0.548633
4,7,,1692,16,0.945626,,3.03518,3.36213,3.68833,,0.000187036,0.110186,0.425037
4,8,,1689,23,1.36175,,4.04604,4.37651,4.6489,,0.000211155,0.13762,0.456506
4,9,,1672,25,1.49522,,4.05121,4.34863,4.59896,,0.000469659,0.136449,0.43271
5,1,,1646,36,2.18712,,4.02702,4.31317,4.62384,,0.000246448,0.160176,0.488291
5,2,,1593,14,0.878845,,3.00523,3.24854,3.57657,,0.000312058,0.143245,0.549329
5,3,,1629,5,0.306937,,2.00446,2.24057,2.63117,,0.000371503,0.186366,0.487802
5,4,,1675,0,0,,1.0015,1.14602,1.57781,,1.4595e-05,0.145108,0.571042
5,6,,1701,1,0.0587889,,1.00148,1.27301,1.82445,,2.454e-06,0.250356,0.706507
5,7,,1681,3,0.178465,,2.00809,2.31517,2.64536,,8.075e-06,0.166143,0.61312
5,8,,1631,13,0.797057,,3.02152,3.35976,3.68096,,0.000153357,0.167118,0.504191
5,9,,1630,22,1.34969,,4.03552,4.36958,4.66352,,0.000602466,0.147426,0.579673
6,1,,1645,23,1.39818,,4.02499,4.36744,4.69434,,0.00026338,0.178149,0.589897
