A-k

QoS,BE
SRC, DST,,SEND, DROP, DROP %,, DROPs,1,2,3,4,5,6
1,2,,23373,2555,10.9314,,,1638,275,45,4,1,1
2,1,,23665,2703,11.4219,,,1722,268,51,12,2,0
QoS,GU
SRC, DST,,SEND, DROP, DROP %,, DROPs,1,2,3,4,5,6
1,2,,817,0,0,,,0,0,0,0,0,0
2,1,,792,0,0,,,0,0,0,0,0,0
QoS,SN
SRC, DST,,SEND, DROP, DROP %,, DROPs,1,2,3,4,5,6
1,2,,3069,0,0,,,0,0,0,0,0,0
2,1,,3062,0,0,,,0,0,0,0,0,0
QoS,sBE
SRC, DST,,SEND, DROP, DROP %,, DROPs,1,2,3,4,5,6
1,2,,11716,701,5.98327,,,535,47,6,1,0,0
2,1,,11796,811,6.87521,,,604,68,7,0,0,0
