A-k

QoS,BE
SRC, DST,,SEND, DROP, DROP %,,MIN DELAY,AVG DELAY,MAX DELAY,,MIN JITTER,AVG JITTER,MAX JITTER
1,2,,23373,2555,10.9314,,6.50195,6.86324,6.9969,,1.6e-07,0.00378488,0.0464116
2,1,,23665,2703,11.4219,,6.50263,6.87261,6.99357,,6.45e-07,0.00373066,0.042382
QoS,GU
SRC, DST,,SEND, DROP, DROP %,,MIN DELAY,AVG DELAY,MAX DELAY,,MIN JITTER,AVG JITTER,MAX JITTER
1,2,,817,0,0,,6.50536,6.5179,6.52875,,3.657e-06,0.0046571,0.0186775
2,1,,792,0,0,,6.50589,6.51783,6.53153,,1.296e-06,0.00464899,0.0194508
QoS,SN
SRC, DST,,SEND, DROP, DROP %,,MIN DELAY,AVG DELAY,MAX DELAY,,MIN JITTER,AVG JITTER,MAX JITTER
1,2,,3069,0,0,,6.50279,6.86906,6.98765,,4.527e-06,0.00991426,0.114913
2,1,,3062,0,0,,6.51088,6.87493,6.98764,,3.181e-06,0.00966884,0.0690703
QoS,sBE
SRC, DST,,SEND, DROP, DROP %,,MIN DELAY,AVG DELAY,MAX DELAY,,MIN JITTER,AVG JITTER,MAX JITTER
1,2,,11716,701,5.98327,,6.50272,6.51789,6.53557,,9.3e-08,0.00338972,0.0197464
2,1,,11796,811,6.87521,,6.5055,6.51792,6.53467,,3.3e-07,0.00339548,0.020569
