APN,API,AEName,AEInstance,Load,Threshold,Available
Sap0.0.0.0,0,Stream,0,0,1,Y
Sap0.0.1.0,0,Stream,0,0,1,Y
Sap0.1.0.0,0,Stream,0,0,1,Y
Sap0.1.1.0,0,Stream,0,0,1,Y
Sap0.2.0.0,0,Stream,0,0,1,Y
Sap0.2.1.0,0,Stream,0,0,1,Y
Sap0.3.0.0,0,Stream,0,0,1,Y
Sap0.3.1.0,0,Stream,0,0,1,Y
Sap1.0.0.0,0,Stream,0,0,1,Y
Sap1.0.1.0,0,Stream,0,0,1,Y
Sap1.1.0.0,0,Stream,0,0,1,Y
Sap1.1.1.0,0,Stream,0,0,1,Y
Sap1.2.0.0,0,Stream,0,0,1,Y
Sap1.2.1.0,0,Stream,0,0,1,Y
Sap1.3.0.0,0,Stream,0,0,1,Y
Sap1.3.1.0,0,Stream,0,0,1,Y
Sap2.0.0.0,0,Stream,0,0,1,Y
Sap2.0.1.0,0,Stream,0,0,1,Y
Sap2.1.0.0,0,Stream,0,0,1,Y
Sap2.1.1.0,0,Stream,0,0,1,Y
Sap2.2.0.0,0,Stream,0,0,1,Y
Sap2.2.1.0,0,Stream,0,0,1,Y
Sap2.3.0.0,0,Stream,0,0,1,Y
Sap2.3.1.0,0,Stream,0,0,1,Y
Sap3.0.0.0,0,Stream,0,0,1,Y
Sap3.0.1.0,0,Stream,0,0,1,Y
Sap3.1.0.0,0,Stream,0,0,1,Y
Sap3.1.1.0,0,Stream,0,0,1,Y
Sap3.2.0.0,0,Stream,0,0,1,Y
Sap3.2.1.0,0,Stream,0,0,1,Y
Sap3.3.0.0,0,Stream,0,0,1,Y
Sap3.3.1.0,0,Stream,0,0,1,Y
